id,name,artifact_type,category,availability,status,primary_url,description
full-stack-llm-observability-platforms--langfuse,Langfuse,platform,Full-Stack LLM Observability Platforms,open-source,active,https://github.com/langfuse/langfuse,"Langfuse is a self-hostable LLM engineering platform for traces, sessions, evaluations, prompt management, datasets, annotations, and cost analytics, with hosted deployment also available. Docs"
full-stack-llm-observability-platforms--arize-ax,Arize AX,platform,Full-Stack LLM Observability Platforms,commercial,active,https://arize.com/docs/ax,"Arize AX is an enterprise AI observability and evaluation platform for tracing, experiments, online evaluations, drift analysis, and production monitoring across LLM applications and agents."
full-stack-llm-observability-platforms--confident-ai,Confident AI,platform,Full-Stack LLM Observability Platforms,commercial,active,https://www.confident-ai.com/,Confident AI is the AI quality platform built for enterprise platform teams to standardize evals and observability across the org — one consistent bar for how different product teams measure and monitor their AI.
full-stack-llm-observability-platforms--opik,Opik,platform,Full-Stack LLM Observability Platforms,open-core,active,https://github.com/comet-ml/opik,"Opik is Comet's open-source tracing and evaluation platform with a hosted service, datasets, experiments, prompt management, online scoring, dashboards, and agent-focused trace views. Docs"
full-stack-llm-observability-platforms--helicone,Helicone,platform,Full-Stack LLM Observability Platforms,open-source,active,https://github.com/Helicone/helicone,"Helicone is an open-source observability platform and proxy for logging LLM requests, analyzing sessions, tracking cost and latency, collecting feedback, and running experiments. Docs"
full-stack-llm-observability-platforms--laminar,Laminar,platform,Full-Stack LLM Observability Platforms,open-source,active,https://github.com/lmnr-ai/lmnr,"Laminar is an open-source platform for tracing, evaluating, and monitoring LLM applications and agents, with OpenTelemetry-based instrumentation, datasets, and browser-agent support. Docs"
full-stack-llm-observability-platforms--langsmith,LangSmith,platform,Full-Stack LLM Observability Platforms,commercial,active,https://www.langchain.com/langsmith,"LangSmith is LangChain's hosted platform for tracing, debugging, dataset-based evaluation, online evaluators, prompt management, annotation queues, and deployment monitoring across LangChain and non-LangChain applications. Docs"
full-stack-llm-observability-platforms--weights-biases-weave,Weights & Biases Weave,platform,Full-Stack LLM Observability Platforms,open-core,active,https://github.com/wandb/weave,"Weights & Biases Weave is an open-source tracing and evaluation toolkit with a managed platform for scorers, datasets, comparisons, prompt iteration, costs, and production monitoring. Docs"
full-stack-llm-observability-platforms--braintrust,Braintrust,platform,Full-Stack LLM Observability Platforms,commercial,active,https://www.braintrust.dev/,"Braintrust is an AI engineering platform for traces, experiments, datasets, prompt iteration, online scoring, user feedback, and production analytics. Docs"
full-stack-llm-observability-platforms--langwatch,LangWatch,platform,Full-Stack LLM Observability Platforms,open-source,active,https://github.com/langwatch/langwatch,"LangWatch is an open-source platform for LLM and agent tracing, evaluations, datasets, prompt optimization, and scenario-based simulation testing. Docs"
